0,85
1,74
2,68
3,52
4,47
5,40
6,24
7,23
8,16
9,1
10,1
11,272
12,117
13,98
14,86
15,82
16,52
17,45
18,25
19,21
20,20
21,2
22,30
23,30
24,24
25,22
26,19
27,972
28,234
29,148
30,127
31,84
32,64
33,52
34,25
35,24
36,1536
37,878
38,361
39,224
40,135
41,129
42,1556
43,1304
44,511
45,460
46,400
47,349
48,150
49,64
50,30
51,1
52,2728
53,752
54,51
55,1645
56,509
57,237
58,97
59,69
60,64
61,40
62,29
63,23
64,16
65,14
66,1
67,2419
68,803
69,73
70,49
71,34
72,1601
73,279
74,189
75,44
76,26
77,23
78,9
79,267
80,138
81,85
82,77
83,71
84,25
85,1095
86,246
87,245
88,191
89,1081
90,265
91,247
92,151
93,1083
94,231
95,205
96,156
97,155
98,153
99,144
100,116
101,114
102,105
103,89
104,54
105,52
106,35
107,27
108,22
109,21
110,6
111,1487
112,989
113,562
114,103
115,210
116,139
117,62
118,32
119,30
120,21
