0,960.0
1,775.0
2,350.0
3,816.0
4,492.0
5,731.0
6,360.0
7,756.0
8,656.0
9,408.0
10,566.0
11,644.0
12,762.0
13,766.0
14,796.0
15,857.0
16,1108.0
17,715.0
18,968.0
19,678.0
20,599.0
21,610.0
22,755.0
23,161.0
24,934.0
25,880.0
26,909.0
27,499.0
28,517.0
29,360.0
30,390.0
31,296.0
32,357.0
33,244.0
34,344.0
35,377.0
36,642.0
37,635.0
38,586.0
39,458.0
40,366.0
41,431.0
42,574.0
43,603.0
44,586.0
45,603.0
46,357.0
47,429.0
48,411.0
49,161.0
50,220.0
51,480.0
52,806.0
53,650.0
54,517.0
55,847.0
56,654.0
57,732.0
58,556.0
59,451.0
60,640.0
61,538.0
62,850.0
63,103.0
64,301.0
65,200.0
66,101.0
67,801.0
68,654.0
69,528.0
70,577.0
71,594.0
72,789.0
73,745.0
74,487.0
75,623.0
76,572.0
77,629.0
78,514.0
79,494.0
80,380.0
81,257.0
82,396.0
83,410.0
84,303.0
85,561.0
86,431.0
87,354.0
88,449.0
89,563.0
90,444.0
91,420.0
92,387.0
93,980.0
94,795.0
95,801.0
96,797.0
97,1028.0
98,741.0
99,838.0
100,516.0
101,912.0
102,870.0
103,843.0
104,750.0
105,908.0
106,731.0
107,734.0
108,683.0
109,605.0
110,931.0
111,896.0
112,781.0
113,676.0
114,413.0
115,425.0
116,393.0
117,123.0
118,411.0
119,498.0
120,90.0
